,rank,year,contract_start,contract_end,contract_length,age,games,war,league_r,bats_r,throws_r,team_sr,team_pr,position_r,ts_mil,as_mil,clusters,cluster
475,90,2022,2015,2023,8,33,43,1.8,0,0,0,27,5,6,120.0,0.0,2,purple
476,90,2023,2015,2023,8,34,82,0.0,0,0,0,27,5,6,120.0,3.0,2,purple
477,90,2002,2002,2008,7,31,155,7.1,0,1,0,18,18,10,120.0,10.428571,2,purple
478,90,2003,2002,2008,7,32,156,4.8,0,1,0,18,18,10,120.0,11.428571,2,purple
479,90,2004,2002,2008,7,33,80,-0.1,0,1,0,18,18,10,120.0,12.428571,2,purple
480,90,2005,2002,2008,7,34,139,4.6,0,1,0,18,18,10,120.0,13.428571,2,purple
481,90,2006,2002,2008,7,35,139,2.9,0,1,0,18,18,10,120.0,20.428571,2,purple
482,90,2007,2002,2008,7,36,83,0.9,0,1,0,18,18,10,120.0,23.428571,2,purple
483,90,2008,2002,2008,7,37,145,1.9,0,1,0,18,18,10,120.0,23.428571,2,purple
484,90,2010,2010,2016,7,30,158,5.9,1,0,0,25,25,11,120.0,16.333327,2,purple
485,90,2011,2010,2016,7,31,124,3.8,1,0,0,25,25,11,120.0,16.317774,2,purple
486,90,2012,2010,2016,7,32,157,4.0,1,0,0,25,25,11,120.0,17.0,2,purple
487,90,2013,2010,2016,7,33,141,2.6,1,0,0,25,25,11,120.0,17.0,2,purple
488,90,2014,2010,2016,7,34,156,3.3,1,0,0,25,25,11,120.0,17.0,2,purple
489,90,2015,2010,2016,7,35,73,0.6,1,0,0,25,25,11,120.0,17.0,2,purple
490,90,2016,2010,2016,7,36,110,0.5,1,0,0,25,25,11,120.0,17.0,2,purple
491,90,2019,2019,2026,6,26,155,6.3,0,0,0,3,3,6,120.0,12.0,2,purple
492,90,2020,2019,2026,6,27,56,1.6,0,0,0,3,3,6,120.0,20.0,2,purple
493,90,2021,2019,2026,6,28,144,5.0,0,0,0,3,3,6,120.0,20.0,2,purple
494,90,2022,2019,2026,6,29,150,5.9,0,0,0,3,3,6,120.0,20.0,2,purple
495,95,2005,2005,2011,7,28,151,2.9,1,2,0,17,17,10,119.0,11.571429,2,purple
496,95,2006,2005,2011,7,29,140,8.2,1,2,0,17,17,10,119.0,13.571428,2,purple
497,95,2007,2005,2011,7,30,144,5.4,1,2,0,17,17,10,119.0,13.571429,2,purple
498,95,2008,2005,2011,7,31,161,7.0,1,2,0,17,17,10,119.0,18.622809,2,purple
499,95,2009,2005,2011,7,32,81,3.6,1,2,0,17,17,10,119.0,19.243682,2,purple
500,95,2010,2005,2011,7,33,64,0.7,1,2,0,17,17,10,119.0,19.401569,2,purple
501,95,2011,2005,2011,7,34,98,3.4,1,2,0,17,17,10,119.0,19.325436,2,purple
502,95,2011,2005,2011,7,34,44,1.2,1,2,0,17,24,10,119.0,0.0,2,purple
503,96,2020,2020,2024,5,30,11,2.8,1,1,0,20,20,1,118.0,21.5,2,purple
504,96,2021,2020,2024,5,31,32,7.5,1,1,0,20,20,1,118.0,22.5,2,purple
505,96,2022,2020,2024,5,32,26,5.0,1,1,0,20,20,1,118.0,26.0,2,purple
506,96,2023,2020,2024,5,33,23,2.6,1,1,0,20,20,1,118.0,24.5,2,purple
507,97,2000,2000,2008,9,30,145,5.5,1,1,1,6,6,9,116.5,9.3297,2,purple
508,97,2001,2000,2008,9,31,111,1.9,1,1,1,6,6,9,116.5,12.5,2,purple
